condition_id,provider,model,tier,theorem_id,theorem_name,question_id,sample,verdict,finish_reason,latency_s,timestamp,error
deepseek|deepseek-chat|10.5|compiles|0,deepseek,deepseek-chat,legacy,10.5,first_prime_gt_3_even_minus4_is_0,compiles,0,not_compiles,stop,3.83,2026-06-14T22:58:23.662288+00:00,
deepseek|deepseek-chat|10.5|compiles|1,deepseek,deepseek-chat,legacy,10.5,first_prime_gt_3_even_minus4_is_0,compiles,1,not_compiles,stop,4.66,2026-06-14T22:58:27.492433+00:00,
deepseek|deepseek-chat|10.5|compiles|2,deepseek,deepseek-chat,legacy,10.5,first_prime_gt_3_even_minus4_is_0,compiles,2,not_compiles,stop,2.72,2026-06-14T22:58:28.224711+00:00,
deepseek|deepseek-chat|10.5|meaning|0,deepseek,deepseek-chat,legacy,10.5,first_prime_gt_3_even_minus4_is_0,meaning,0,,stop,6.74,2026-06-14T22:58:28.637668+00:00,
deepseek|deepseek-chat|10.5|meaning|1,deepseek,deepseek-chat,legacy,10.5,first_prime_gt_3_even_minus4_is_0,meaning,1,,stop,5.67,2026-06-14T22:58:29.138277+00:00,
deepseek|deepseek-chat|10.5|meaning|2,deepseek,deepseek-chat,legacy,10.5,first_prime_gt_3_even_minus4_is_0,meaning,2,,stop,4.52,2026-06-14T22:58:30.947006+00:00,
deepseek|deepseek-chat|10|compiles|0,deepseek,deepseek-chat,legacy,10,two_minus_three_eq_infty,compiles,0,not_compiles,stop,2.55,2026-06-14T22:58:16.778654+00:00,
deepseek|deepseek-chat|10|compiles|1,deepseek,deepseek-chat,legacy,10,two_minus_three_eq_infty,compiles,1,not_compiles,stop,3.29,2026-06-14T22:58:18.589503+00:00,
deepseek|deepseek-chat|10|compiles|2,deepseek,deepseek-chat,legacy,10,two_minus_three_eq_infty,compiles,2,compiles,stop,3.34,2026-06-14T22:58:19.328266+00:00,
deepseek|deepseek-chat|10|meaning|0,deepseek,deepseek-chat,legacy,10,two_minus_three_eq_infty,meaning,0,,stop,6.75,2026-06-14T22:58:21.883662+00:00,
deepseek|deepseek-chat|10|meaning|1,deepseek,deepseek-chat,legacy,10,two_minus_three_eq_infty,meaning,1,,stop,6.6,2026-06-14T22:58:22.533997+00:00,
deepseek|deepseek-chat|10|meaning|2,deepseek,deepseek-chat,legacy,10,two_minus_three_eq_infty,meaning,2,,stop,5.56,2026-06-14T22:58:22.664375+00:00,
deepseek|deepseek-chat|11|compiles|0,deepseek,deepseek-chat,legacy,11,unique_proofs,compiles,0,not_compiles,stop,4.69,2026-06-14T22:58:32.149300+00:00,
deepseek|deepseek-chat|11|compiles|1,deepseek,deepseek-chat,legacy,11,unique_proofs,compiles,1,not_compiles,stop,3.22,2026-06-14T22:58:34.808110+00:00,
deepseek|deepseek-chat|11|compiles|2,deepseek,deepseek-chat,legacy,11,unique_proofs,compiles,2,not_compiles,stop,5.07,2026-06-14T22:58:35.380983+00:00,
deepseek|deepseek-chat|11|meaning|0,deepseek,deepseek-chat,legacy,11,unique_proofs,meaning,0,,stop,9.5,2026-06-14T22:58:35.471775+00:00,
deepseek|deepseek-chat|11|meaning|1,deepseek,deepseek-chat,legacy,11,unique_proofs,meaning,1,,stop,11.72,2026-06-14T22:58:36.835618+00:00,
deepseek|deepseek-chat|11|meaning|2,deepseek,deepseek-chat,legacy,11,unique_proofs,meaning,2,,stop,11.75,2026-06-14T22:58:38.033096+00:00,
deepseek|deepseek-chat|12|compiles|0,deepseek,deepseek-chat,legacy,12,Theorem_12.rational_polynomial_coordinates,compiles,0,not_compiles,stop,4.68,2026-06-14T22:58:40.447104+00:00,
deepseek|deepseek-chat|12|compiles|1,deepseek,deepseek-chat,legacy,12,Theorem_12.rational_polynomial_coordinates,compiles,1,not_compiles,stop,9.01,2026-06-14T22:58:44.970368+00:00,
deepseek|deepseek-chat|12|compiles|2,deepseek,deepseek-chat,legacy,12,Theorem_12.rational_polynomial_coordinates,compiles,2,not_compiles,stop,7.93,2026-06-14T22:58:45.124479+00:00,
deepseek|deepseek-chat|12|meaning|0,deepseek,deepseek-chat,legacy,12,Theorem_12.rational_polynomial_coordinates,meaning,0,,stop,13.11,2026-06-14T22:58:48.554220+00:00,
deepseek|deepseek-chat|12|meaning|1,deepseek,deepseek-chat,legacy,12,Theorem_12.rational_polynomial_coordinates,meaning,1,,stop,9.18,2026-06-14T22:58:49.783044+00:00,
deepseek|deepseek-chat|12|meaning|2,deepseek,deepseek-chat,legacy,12,Theorem_12.rational_polynomial_coordinates,meaning,2,,stop,7.43,2026-06-14T22:58:53.059163+00:00,
deepseek|deepseek-chat|13|compiles|0,deepseek,deepseek-chat,legacy,13,Theorem_13.a_eq_b_eq_c,compiles,0,not_compiles,stop,6.45,2026-06-14T22:58:53.985005+00:00,
deepseek|deepseek-chat|13|compiles|1,deepseek,deepseek-chat,legacy,13,Theorem_13.a_eq_b_eq_c,compiles,1,not_compiles,stop,5.36,2026-06-14T22:58:58.964176+00:00,
deepseek|deepseek-chat|13|compiles|2,deepseek,deepseek-chat,legacy,13,Theorem_13.a_eq_b_eq_c,compiles,2,not_compiles,stop,5.53,2026-06-14T22:59:00.433962+00:00,
deepseek|deepseek-chat|13|meaning|0,deepseek,deepseek-chat,legacy,13,Theorem_13.a_eq_b_eq_c,meaning,0,,stop,7.87,2026-06-14T22:59:00.485819+00:00,
deepseek|deepseek-chat|13|meaning|1,deepseek,deepseek-chat,legacy,13,Theorem_13.a_eq_b_eq_c,meaning,1,,stop,7.78,2026-06-14T22:59:01.661883+00:00,
deepseek|deepseek-chat|13|meaning|2,deepseek,deepseek-chat,legacy,13,Theorem_13.a_eq_b_eq_c,meaning,2,,stop,10.03,2026-06-14T22:59:04.324005+00:00,
deepseek|deepseek-chat|14|compiles|0,deepseek,deepseek-chat,legacy,14,Theorem_14.overflow,compiles,0,not_compiles,stop,7.44,2026-06-14T22:59:05.961144+00:00,
deepseek|deepseek-chat|14|compiles|1,deepseek,deepseek-chat,legacy,14,Theorem_14.overflow,compiles,1,not_compiles,stop,3.37,2026-06-14T22:59:08.354218+00:00,
deepseek|deepseek-chat|14|compiles|2,deepseek,deepseek-chat,legacy,14,Theorem_14.overflow,compiles,2,not_compiles,stop,3.79,2026-06-14T22:59:09.444651+00:00,
deepseek|deepseek-chat|14|meaning|0,deepseek,deepseek-chat,legacy,14,Theorem_14.overflow,meaning,0,,stop,8.35,2026-06-14T22:59:11.721398+00:00,
deepseek|deepseek-chat|14|meaning|1,deepseek,deepseek-chat,legacy,14,Theorem_14.overflow,meaning,1,,stop,5.62,2026-06-14T22:59:13.232754+00:00,
deepseek|deepseek-chat|14|meaning|2,deepseek,deepseek-chat,legacy,14,Theorem_14.overflow,meaning,2,,stop,5.97,2026-06-14T22:59:13.402292+00:00,
deepseek|deepseek-chat|1|compiles|0,deepseek,deepseek-chat,legacy,1,one_half_third_coord_is_bijection,compiles,0,not_compiles,stop,2.45,2026-06-14T22:56:37.790385+00:00,
deepseek|deepseek-chat|1|compiles|1,deepseek,deepseek-chat,legacy,1,one_half_third_coord_is_bijection,compiles,1,not_compiles,stop,2.63,2026-06-14T22:56:40.236321+00:00,
deepseek|deepseek-chat|1|compiles|2,deepseek,deepseek-chat,legacy,1,one_half_third_coord_is_bijection,compiles,2,not_compiles,stop,3.21,2026-06-14T22:56:42.869597+00:00,
deepseek|deepseek-chat|1|meaning|0,deepseek,deepseek-chat,legacy,1,one_half_third_coord_is_bijection,meaning,0,,stop,7.33,2026-06-14T22:56:44.766501+00:00,
deepseek|deepseek-chat|1|meaning|1,deepseek,deepseek-chat,legacy,1,one_half_third_coord_is_bijection,meaning,1,,stop,5.23,2026-06-14T22:56:46.079147+00:00,
deepseek|deepseek-chat|1|meaning|2,deepseek,deepseek-chat,legacy,1,one_half_third_coord_is_bijection,meaning,2,,stop,5.79,2026-06-14T22:56:51.308394+00:00,
deepseek|deepseek-chat|2|compiles|0,deepseek,deepseek-chat,legacy,2,polynomial_factorization_30,compiles,0,not_compiles,stop,9.18,2026-06-14T22:56:52.101472+00:00,
deepseek|deepseek-chat|2|compiles|1,deepseek,deepseek-chat,legacy,2,polynomial_factorization_30,compiles,1,not_compiles,stop,4.68,2026-06-14T22:56:57.100204+00:00,
deepseek|deepseek-chat|2|compiles|2,deepseek,deepseek-chat,legacy,2,polynomial_factorization_30,compiles,2,not_compiles,stop,5.25,2026-06-14T22:57:01.279973+00:00,
deepseek|deepseek-chat|2|meaning|0,deepseek,deepseek-chat,legacy,2,polynomial_factorization_30,meaning,0,,stop,7.63,2026-06-14T22:57:01.778252+00:00,
deepseek|deepseek-chat|2|meaning|1,deepseek,deepseek-chat,legacy,2,polynomial_factorization_30,meaning,1,,stop,8.67,2026-06-14T22:57:02.064032+00:00,
deepseek|deepseek-chat|2|meaning|2,deepseek,deepseek-chat,legacy,2,polynomial_factorization_30,meaning,2,,stop,8.72,2026-06-14T22:57:06.527446+00:00,
deepseek|deepseek-chat|3|compiles|0,deepseek,deepseek-chat,legacy,3,polynomials_within_polynomials,compiles,0,not_compiles,stop,4.91,2026-06-14T22:57:09.404193+00:00,
deepseek|deepseek-chat|3|compiles|1,deepseek,deepseek-chat,legacy,3,polynomials_within_polynomials,compiles,1,not_compiles,stop,7.62,2026-06-14T22:57:10.736043+00:00,
deepseek|deepseek-chat|3|compiles|2,deepseek,deepseek-chat,legacy,3,polynomials_within_polynomials,compiles,2,not_compiles,stop,9.18,2026-06-14T22:57:14.311994+00:00,
deepseek|deepseek-chat|3|meaning|0,deepseek,deepseek-chat,legacy,3,polynomials_within_polynomials,meaning,0,,stop,7.13,2026-06-14T22:57:15.244334+00:00,
deepseek|deepseek-chat|3|meaning|1,deepseek,deepseek-chat,legacy,3,polynomials_within_polynomials,meaning,1,,stop,6.64,2026-06-14T22:57:18.359224+00:00,
deepseek|deepseek-chat|3|meaning|2,deepseek,deepseek-chat,legacy,3,polynomials_within_polynomials,meaning,2,,stop,5.21,2026-06-14T22:57:22.378628+00:00,
deepseek|deepseek-chat|4|compiles|0,deepseek,deepseek-chat,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,compiles,0,not_compiles,stop,4.23,2026-06-14T22:57:23.494822+00:00,
deepseek|deepseek-chat|4|compiles|1,deepseek,deepseek-chat,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,compiles,1,not_compiles,stop,5.01,2026-06-14T22:57:24.999827+00:00,
deepseek|deepseek-chat|4|compiles|2,deepseek,deepseek-chat,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,compiles,2,not_compiles,stop,4.16,2026-06-14T22:57:27.588668+00:00,
deepseek|deepseek-chat|4|meaning|0,deepseek,deepseek-chat,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,meaning,0,,stop,11.0,2026-06-14T22:57:27.722094+00:00,
deepseek|deepseek-chat|4|meaning|1,deepseek,deepseek-chat,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,meaning,1,,stop,11.16,2026-06-14T22:57:30.011946+00:00,
deepseek|deepseek-chat|4|meaning|2,deepseek,deepseek-chat,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,meaning,2,,stop,7.54,2026-06-14T22:57:31.750892+00:00,
deepseek|deepseek-chat|5|compiles|0,deepseek,deepseek-chat,legacy,5,Riemann_hypothesis_in_closure_of_not_not,compiles,0,not_compiles,stop,5.0,2026-06-14T22:57:38.717563+00:00,
deepseek|deepseek-chat|5|compiles|1,deepseek,deepseek-chat,legacy,5,Riemann_hypothesis_in_closure_of_not_not,compiles,1,not_compiles,stop,4.72,2026-06-14T22:57:39.295316+00:00,
deepseek|deepseek-chat|5|compiles|2,deepseek,deepseek-chat,legacy,5,Riemann_hypothesis_in_closure_of_not_not,compiles,2,not_compiles,stop,3.99,2026-06-14T22:57:41.174318+00:00,
deepseek|deepseek-chat|5|meaning|0,deepseek,deepseek-chat,legacy,5,Riemann_hypothesis_in_closure_of_not_not,meaning,0,,stop,6.13,2026-06-14T22:57:43.722691+00:00,
