condition_id,provider,model,tier,theorem_id,theorem_name,sample,grade
deepseek|deepseek-chat|1|meaning|0,deepseek,deepseek-chat,legacy,1,one_half_third_coord_is_bijection,0,2
deepseek|deepseek-chat|1|meaning|1,deepseek,deepseek-chat,legacy,1,one_half_third_coord_is_bijection,1,1
deepseek|deepseek-chat|1|meaning|2,deepseek,deepseek-chat,legacy,1,one_half_third_coord_is_bijection,2,1
deepseek|deepseek-chat|2|meaning|0,deepseek,deepseek-chat,legacy,2,polynomial_factorization_30,0,2
deepseek|deepseek-chat|2|meaning|1,deepseek,deepseek-chat,legacy,2,polynomial_factorization_30,1,2
deepseek|deepseek-chat|2|meaning|2,deepseek,deepseek-chat,legacy,2,polynomial_factorization_30,2,2
deepseek|deepseek-chat|3|meaning|0,deepseek,deepseek-chat,legacy,3,polynomials_within_polynomials,0,2
deepseek|deepseek-chat|3|meaning|1,deepseek,deepseek-chat,legacy,3,polynomials_within_polynomials,1,2
deepseek|deepseek-chat|3|meaning|2,deepseek,deepseek-chat,legacy,3,polynomials_within_polynomials,2,2
deepseek|deepseek-chat|4|meaning|0,deepseek,deepseek-chat,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,0,2
deepseek|deepseek-chat|4|meaning|1,deepseek,deepseek-chat,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,1,2
deepseek|deepseek-chat|4|meaning|2,deepseek,deepseek-chat,legacy,4,set_of_nonzero_reals_is_continuous_nonmono_surjection,2,0
deepseek|deepseek-chat|5|meaning|0,deepseek,deepseek-chat,legacy,5,Riemann_hypothesis_in_closure_of_not_not,0,2
deepseek|deepseek-chat|5|meaning|1,deepseek,deepseek-chat,legacy,5,Riemann_hypothesis_in_closure_of_not_not,1,2
deepseek|deepseek-chat|5|meaning|2,deepseek,deepseek-chat,legacy,5,Riemann_hypothesis_in_closure_of_not_not,2,2
deepseek|deepseek-chat|6|meaning|0,deepseek,deepseek-chat,legacy,6,TFAE_7_binary,0,1
deepseek|deepseek-chat|6|meaning|1,deepseek,deepseek-chat,legacy,6,TFAE_7_binary,1,1
deepseek|deepseek-chat|6|meaning|2,deepseek,deepseek-chat,legacy,6,TFAE_7_binary,2,1
deepseek|deepseek-chat|7|meaning|0,deepseek,deepseek-chat,legacy,7,not_dot_not_det_or_and_not_det_and,0,0
deepseek|deepseek-chat|7|meaning|1,deepseek,deepseek-chat,legacy,7,not_dot_not_det_or_and_not_det_and,1,1
deepseek|deepseek-chat|7|meaning|2,deepseek,deepseek-chat,legacy,7,not_dot_not_det_or_and_not_det_and,2,1
deepseek|deepseek-chat|8|meaning|0,deepseek,deepseek-chat,legacy,8,Exists_GrpCat_nonmeasurable,0,2
deepseek|deepseek-chat|8|meaning|1,deepseek,deepseek-chat,legacy,8,Exists_GrpCat_nonmeasurable,1,2
deepseek|deepseek-chat|8|meaning|2,deepseek,deepseek-chat,legacy,8,Exists_GrpCat_nonmeasurable,2,2
deepseek|deepseek-chat|9|meaning|0,deepseek,deepseek-chat,legacy,9,riemannZeta_one',0,1
deepseek|deepseek-chat|9|meaning|1,deepseek,deepseek-chat,legacy,9,riemannZeta_one',1,2
deepseek|deepseek-chat|9|meaning|2,deepseek,deepseek-chat,legacy,9,riemannZeta_one',2,1
deepseek|deepseek-chat|10|meaning|0,deepseek,deepseek-chat,legacy,10,two_minus_three_eq_infty,0,2
deepseek|deepseek-chat|10|meaning|1,deepseek,deepseek-chat,legacy,10,two_minus_three_eq_infty,1,0
deepseek|deepseek-chat|10|meaning|2,deepseek,deepseek-chat,legacy,10,two_minus_three_eq_infty,2,2
deepseek|deepseek-chat|10.5|meaning|0,deepseek,deepseek-chat,legacy,10.5,first_prime_gt_3_even_minus4_is_0,0,2
deepseek|deepseek-chat|10.5|meaning|1,deepseek,deepseek-chat,legacy,10.5,first_prime_gt_3_even_minus4_is_0,1,2
